Date,portfolio,Mkt-RF,SMB,HML,RF
2015-10,0.07080376987552728,7.75,-1.86,-0.46,0.0
2015-11,0.006439305817095953,0.56,3.6,-0.38,0.0
2015-12,-0.05509942946298252,-2.17,-2.81,-2.59,0.01
2016-01,-0.016245976431787157,-5.77,-3.39,2.06,0.01
2016-02,-0.018864075061237773,-0.07,0.81,-0.57,0.02
2016-03,0.06333139416580758,6.96,0.76,1.1,0.02
2016-04,0.0024827571939469717,0.91,0.67,3.21,0.01
2016-05,0.016718508481054606,1.78,-0.19,-1.66,0.01
2016-06,-0.01512398423937511,-0.05,0.59,-1.45,0.02
2016-07,0.04483156456595183,3.95,2.49,-1.31,0.02
2016-08,0.0026631067100797434,0.49,1.16,3.16,0.02
2016-09,0.004328741440450479,0.25,2.13,-1.22,0.02
2016-10,-0.01675008353041396,-2.02,-4.4,4.12,0.02
2016-11,0.005977412936127857,4.86,5.68,8.2,0.01
2016-12,-0.02495553174603915,1.81,0.11,3.56,0.03
2017-01,0.07628913878160537,1.94,-1.16,-2.73,0.04
2017-02,0.03182157574418354,3.57,-2.05,-1.66,0.04
2017-03,0.022167620206744898,0.17,1.13,-3.37,0.03
2017-04,0.028231700731901954,1.09,0.72,-2.15,0.05
2017-05,0.03594671380689385,1.06,-2.55,-3.76,0.06
2017-06,-0.004010691770085284,0.78,2.24,1.48,0.06
2017-07,0.03536416024905997,1.87,-1.46,-0.22,0.07
2017-08,0.016063783014998556,0.16,-1.65,-2.07,0.09
2017-09,0.008487235111502178,2.51,4.45,3.09,0.09
2017-10,0.047277253439961475,2.25,-1.93,0.23,0.09
2017-11,0.01591439672453454,3.12,-0.56,-0.05,0.08
2017-12,-0.05025226872966615,1.06,-1.32,0.03,0.09
2018-01,0.15469869393457447,5.58,-3.18,-1.36,0.11
2018-02,-0.03758495176420984,-3.65,0.26,-1.03,0.11
2018-03,-0.020244652935472063,-2.35,4.06,-0.23,0.12
2018-04,0.011989891985963785,0.29,1.1,0.48,0.14
2018-05,0.04055357292126183,2.65,5.31,-3.13,0.14
2018-06,0.009246432917229708,0.48,1.12,-2.33,0.14
2018-07,0.019383614725069,3.19,-2.24,0.45,0.16
2018-08,0.04508646522773607,3.44,1.13,-3.98,0.16
2018-09,0.0014215216134534359,0.06,-2.29,-1.7,0.15
2018-10,-0.09723208309337139,-7.68,-4.78,3.43,0.19
2018-11,0.007075604134795022,1.69,-0.69,0.26,0.18
2018-12,-0.1405152950281383,-9.55,-2.41,-1.9,0.19
2019-01,0.171003823340516,8.41,2.9,-0.44,0.21
2019-02,0.014937716040200888,3.4,2.04,-2.68,0.18
2019-03,0.031162774650636216,1.1,-2.98,-4.05,0.19
2019-04,0.04879990627770625,3.97,-1.72,2.17,0.21
2019-05,-0.057208252292047956,-6.94,-1.33,-2.37,0.21
2019-06,0.0663431597826134,6.93,0.28,-0.71,0.18
2019-07,0.00910477500699347,1.19,-2.04,0.57,0.19
2019-08,-0.01804516143181023,-2.58,-2.33,-4.89,0.16
2019-09,-0.015314116158188007,1.43,-0.97,6.88,0.18
2019-10,0.027993908010965685,2.07,0.25,-1.91,0.15
2019-11,0.04311644009839877,3.87,0.85,-2.09,0.12
2019-12,-0.005801234433884472,2.77,0.7,1.8,0.14
2020-01,0.05665467309668304,-0.1,-3.13,-6.17,0.13
2020-02,-0.06571426432035465,-8.13,1.02,-3.75,0.12
2020-03,-0.09487485820932606,-13.38,-4.89,-13.92,0.12
2020-04,0.14540813289654442,13.65,2.56,-1.3,0.0
2020-05,0.06458791779614925,5.58,2.53,-4.92,0.01
2020-06,0.04044635209477554,2.46,2.67,-2.12,0.01
2020-07,0.07171583406660709,5.77,-2.28,-1.53,0.01
2020-08,0.09631025496142631,7.63,-0.28,-2.95,0.01
2020-09,-0.048488392960211124,-3.63,0.05,-2.58,0.01
2020-10,-0.03177455388728612,-2.1,4.4,4.14,0.01
2020-11,0.08359140268870702,12.47,5.63,2.1,0.01
2020-12,-0.04228580737499854,4.63,4.83,-1.41,0.01
2021-01,0.06495532139326565,-0.03,7.12,3.0,0.0
2021-02,-0.0072377572196391515,2.78,2.04,7.2,0.0
2021-03,0.04428242263702109,3.08,-2.41,7.41,0.0
2021-04,0.07023821664438312,4.93,-3.12,-0.95,0.0
