symbol,name,mktcap,industry
A017800,현대엘리베이,1822398,제조업
A000060,메리츠화재,1911906,보험업
A069620,대웅제약,1888612,제조업
A138930,BNK금융지주,1835015,은행업
A010780,아이에스동서,1785593,제조업
A042670,두산인프라코어,1820304,제조업
A009900,명신산업,1767775,제조업
A009420,한올바이오파마,1836258,제조업
A006650,대한유화,1816750,제조업
A004370,농심,1812627,제조업
A003000,부광약품,1585289,제조업
A336370,솔루스첨단소재,1722203,제조업
A007700,F&F,1647800,제조업
A004800,효성,1643540,제조업
A004000,롯데정밀화학,1560900,제조업
A013890,지누스,1555929,제조업
A111770,영원무역,1559764,제조업
A000240,한국앤컴퍼니,1576692,제조업
A004490,세방전지,1575000,제조업
A181710,NHN,1430203,제조업
A001740,SK네트웍스,1387369,제조업
A003520,영진약품,1338775,제조업
A138040,메리츠금융지주,1303930,은행업
A005850,에스엘,1299078,제조업
A214320,이노션,1256000,제조업
A031430,신세계인터내셔날,1345890,제조업
A006120,SK디스커버리,1311708,제조업
A051600,한전KPS,1266750,제조업
A298020,효성티앤씨,1255028,제조업
A161890,한국콜마,1265329,제조업
A001440,대한전선,1126262,제조업
A093370,후성,1199258,제조업
A192080,더블유게임즈,1209042,제조업
A020560,아시아나항공,1227794,제조업
A073240,금호타이어,1213675,제조업
A016380,KG동부제철,1200107,제조업
A139130,DGB금융지주,1170489,은행업
A064960,S&T모티브,1125981,제조업
A120110,코오롱인더,1227537,제조업
A003850,보령제약,1138822,제조업
A005300,롯데칠성,1121890,제조업
A032350,롯데관광개발,1153440,제조업
A175330,JB금융지주,1103104,은행업
A192820,코스맥스,1125545,제조업
A023590,다우기술,1076799,제조업
A001120,LG상사,1075590,제조업
A042700,한미반도체,1068656,제조업
A071840,롯데하이마트,993885,제조업
A114090,GKL,1029897,제조업
A363280,티와이홀딩스,991899,제조업
